"id","addDate","ids","lastDate","levelinfo","lft","name","rgt","sortnum","code","state","pid","geo","govCode","lat","lng","area_type","fullName"
"1","19/5/2016 16:11:17",,"19/5/2016 16:11:17","1","1","中国","68",,,,,,,,,,
"3","3/6/2016 08:55:24","1,3","3/6/2016 08:55:24","2","2","北京市","3",,,,"1",,,,,,
"4","3/6/2016 08:55:28","1,4","3/6/2016 08:55:28","2","4","上海市","5",,,,"1",,,,,,
"5","3/6/2016 08:55:32","1,5","3/6/2016 08:55:32","2","6","重庆市","7",,,,"1",,,,,,
"6","3/6/2016 08:55:38","1,6","3/6/2016 08:55:38","2","8","天津市","9",,,,"1",,,,,,
"7","3/6/2016 08:57:10","1,7","3/6/2016 08:57:10","2","10","河北省","11",,,,"1",,,,,,
"8","3/6/2016 08:57:27","1,8","3/6/2016 08:57:27","2","12","山西省","13",,,,"1",,,,,,
"9","3/6/2016 08:57:33","1,9","3/6/2016 08:57:33","2","14","辽宁省","15",,,,"1",,,,,,
"10","3/6/2016 08:57:39","1,10","3/6/2016 08:57:39","2","16","吉林省","17",,,,"1",,,,,,
"11","3/6/2016 08:57:45","1,11","3/6/2016 08:57:45","2","18","黑龙江省","19",,,,"1",,,,,,
"12","3/6/2016 08:57:50","1,12","3/6/2016 08:57:50","2","20","江苏省","21",,,,"1",,,,,,
"13","3/6/2016 08:57:55","1,13","3/6/2016 08:57:55","2","22","浙江省","23",,,,"1",,,,,,
"14","3/6/2016 08:58:01","1,14","3/6/2016 08:58:01","2","24","安徽省","25",,,,"1",,,,,,
"15","3/6/2016 08:58:06","1,15","3/6/2016 08:58:06","2","26","福建省","27",,,,"1",,,,,,
"16","3/6/2016 08:58:13","1,16","3/6/2016 08:58:13","2","28","江西省","29",,,,"1",,,,,,
"17","3/6/2016 08:58:20","1,17","3/6/2016 08:58:20","2","30","山东省","31",,,,"1",,,,,,
"18","3/6/2016 08:58:58","1,18","3/6/2016 08:58:58","2","32","河南省","33",,,,"1",,,,,,
"19","3/6/2016 08:59:05","1,19","3/6/2016 08:59:05","2","34","湖北省","35",,,,"1",,,,,,
"20","3/6/2016 08:59:11","1,20","3/6/2016 08:59:11","2","36","湖南省","37",,,,"1",,,,,,
"21","3/6/2016 08:59:18","1,21","3/6/2016 08:59:18","2","38","广东省","39",,,,"1",,,,,,
"22","3/6/2016 08:59:25","1,22","3/6/2016 08:59:25","2","40","海南省","41",,,,"1",,,,,,
"23","3/6/2016 08:59:31","1,23","3/6/2016 08:59:31","2","42","四川省","43",,,,"1",,,,,,
"24","3/6/2016 08:59:36","1,24","3/6/2016 08:59:36","2","44","贵州省","45",,,,"1",,,,,,
"25","3/6/2016 08:59:43","1,25","3/6/2016 08:59:43","2","46","云南省","47",,,,"1",,,,,,
"26","3/6/2016 08:59:48","1,26","3/6/2016 08:59:48","2","48","陕西省","49",,,,"1",,,,,,
"27","24/6/2016 15:21:27","1,27","24/6/2016 15:21:27","2","50","甘肃省","51",,,,"1",,,,,,
"28","3/6/2016 09:00:00","1,28","3/6/2016 09:00:00","2","52","青海省","53",,,,"1",,,,,,
"29","3/6/2016 09:00:05","1,29","3/6/2016 09:00:05","2","54","台湾省","55",,,,"1",,,,,,
"30","3/6/2016 09:00:11","1,30","3/6/2016 09:00:11","2","56","内蒙古自治区","57",,,,"1",,,,,,
"31","3/6/2016 09:00:18","1,31","3/6/2016 09:00:18","2","58","广西壮族自治区","59",,,,"1",,,,,,
"32","3/6/2016 09:00:24","1,32","3/6/2016 09:00:24","2","60","西藏自治区","61",,,,"1",,,,,,
"33","3/6/2016 09:00:30","1,33","3/6/2016 09:00:30","2","62","宁夏回族自治区","63",,,,"1",,,,,,
"34","3/6/2016 09:00:36","1,34","3/6/2016 09:00:36","2","64","新疆维吾尔自治区","65",,,,"1",,,,,,
"35","12/7/2016 15:58:41","1,35","12/7/2016 15:58:41","2","66","新疆建设兵团","67",,,,"1",,,,,,
